input_name,normalized_name,medical_store_id
"BIOCARE MEDICINES(CT)RAIYA, RAJKOT, RAJKOT",biocare medicines ct raiya rajkot rajkot,67dd4c9e-c021-4a79-925b-2b00902b48ee
"BOYAM PHARMA, RAJKOT, RAJKOT",boyam pharma rajkot rajkot,aa76c284-a2c6-4d77-a0e8-5bae9d557654
"BOYUM PHARMA, RAJKOT, RAJKOT",boyum pharma rajkot rajkot,6839d001-1f4a-4da4-81b3-6c03265d3f08
"C.A. MED STORE, METODA, METODA",c a med store metoda metoda,17a86bd7-a511-4c49-8beb-35ec1dcd50bf
"C.A.CHEMIST, SHAPAR, SHAPAR",c a chemist shapar shapar,5819ae3b-3c6f-422f-ab35-01d21f87dd28
"C.A.MEDICAL STORE, MATODA, MATODA",c a medical store matoda matoda,ed1c05a2-c92a-4a19-9354-6cf55fc6d023
"CHETNA MED.STORE RAIYA ROAD, RAJKOT, RAJKOT",chetna med store raiya road rajkot rajkot,7731abed-57b7-4a9c-b767-0e1741290caf
"CHETNA MEDICAL STORE 7, RAIYA ROAD, RAJKOT",chetna medical store 7 raiya road rajkot,f559e669-d544-4fbe-baea-6cfa4ba102c9
"DARSHAN MED STORE [DT] BABRA, BABRA, BABRA",darshan med store dt babra babra babra,8ccda90c-218a-4152-8175-69eb35ffdfef
"DARSHAN MED STORE, SHAPAR, SHAPAR",darshan med store shapar shapar,224a4316-4346-4099-b9d6-73e009723a27
"DARSHAN MED.STORE, BABARA, BABARA",darshan med store babara babara,7942b2e4-d0ca-4b64-be13-687f37a70ebe
DARSHAN MEDICAL STORES BABRA,darshan medical stores babra,f6e5c4a4-f22e-4bcb-8c17-9c9a89bf8071
"DAX MEDICINES - MAVDI, RAJKOT, RAJKOT",dax medicines mavdi rajkot rajkot,140c572c-0b14-4044-abd7-99a5df70832c
"DAX MEDICINES 1, RAJKOT, RAJKOT",dax medicines 1 rajkot rajkot,ef85178b-4073-4165-82ba-fcc99e00d6a0
"DAXINI ENTERPRISE PRIVATE LIMITED, RAJKOT, RAJKOT",daxini enterprise private limited rajkot rajkot,c5c3e0f4-cbf0-4eb3-8940-d960dd97bd71
"DAXINI ENTERPRISE PVT LTD SALE, RAJKOT, RAJKOT",daxini enterprise pvt ltd sale rajkot rajkot,3d5c32e6-d542-4a87-81f9-b58e0b3dab9d
"DENISHA MEDICINE, GAURIDAD, GAURIDAD",denisha medicine gauridad gauridad,d397fe0f-af38-4860-b5a7-661358a0006b
"DEV PHARMACY ( AIRPORT ROAD ), RAJKOT, RAJKOT",dev pharmacy airport road rajkot rajkot,f05cea7b-0908-4a21-a3d0-501ae4f9a6b8
"DEV PHARMACY [CT] AIRPORT, RAJKOT, RAJKOT",dev pharmacy ct airport rajkot rajkot,fb142aac-01e2-4015-9240-2affa1a3c416
"DEV PHARMCY AIRPORT ROAD, RAJKOT, RAJKOT",dev pharmcy airport road rajkot rajkot,4b5b0d1c-0760-44bb-8f24-480e154d86b9
"DEV-PUSHP M STORE [DT] RAIYA, RAJKOT, RAJKOT",dev pushp m store dt raiya rajkot rajkot,f2c84cda-22cd-46b7-956d-6bb1d45471f2
DEV-PUSHP MED STORE SANGANVA,dev pushp med store sanganva,f18222b7-9d55-48d5-b865-cdf8afc0be1b
"DEV-PUSHP MEDICAL STORE [DT]S.T., RAJKOT, RAJKOT",dev pushp medical store dt s t rajkot rajkot,a1a7962b-c962-4470-9d14-a92291d9df1d
